iter	RMSE
0	12.26801019
1	12.05328544
2	11.74205172
3	11.61889403
4	11.4882603
5	11.37768944
6	11.15890133
7	10.97271752
8	10.77245413
9	10.65812907
10	10.51469201
11	10.43901195
12	10.23994628
13	10.18775584
14	9.989744024
15	9.932819712
16	9.864081954
17	9.758474784
18	9.655288212
19	9.409770958
20	9.27129604
21	9.200120169
22	9.152826655
23	9.064895029
24	8.971140681
25	8.906319379
26	8.876355348
27	8.819875778
28	8.715492764
29	8.659754819
30	8.642752459
31	8.616039343
32	8.605649892
33	8.568074174
34	8.504570448
35	8.476136273
36	8.420994905
37	8.332076933
38	8.2578714
39	8.224717898
40	8.197837718
41	8.187012854
42	8.158417711
43	8.011108549
44	7.928868992
45	7.781316234
46	7.757104568
47	7.603013802
48	7.565534941
49	7.551577783
50	7.435203051
51	7.365214114
52	7.338776167
53	7.320264181
54	7.278321049
55	7.168605626
56	7.067778359
57	7.02340118
58	6.923310243
59	6.817959308
60	6.712864943
61	6.617646965
62	6.579905828
63	6.547791494
64	6.503630225
65	6.490069409
66	6.468471637
67	6.427377306
68	6.416646821
69	6.378242354
70	6.357376763
71	6.254961766
72	6.18415456
73	6.11261435
74	6.041011822
75	6.017376389
76	5.951270713
77	5.913453957
78	5.825813879
79	5.802959582
80	5.753675941
81	5.73341295
82	5.697716214
83	5.689717075
84	5.670633091
85	5.661417723
86	5.653609662
87	5.646421717
88	5.586931062
89	5.560896459
90	5.540072016
91	5.490101166
92	5.482326026
93	5.439240371
94	5.432001643
95	5.388884632
96	5.382822689
97	5.341330306
98	5.321751478
99	5.316279222
100	5.248158417
101	5.186861592
102	5.138421691
103	5.078671537
104	5.073023237
105	5.007268518
106	4.939448816
107	4.913949653
108	4.85404529
109	4.806886372
110	4.750330246
111	4.745091884
112	4.740870431
113	4.693919736
114	4.68929294
115	4.684266772
116	4.679656889
117	4.634953729
118	4.605207539
119	4.541626349
120	4.532077556
121	4.505757069
122	4.485345902
123	4.455362115
124	4.420669387
125	4.417444363
126	4.365342802
127	4.34129097
128	4.317974013
129	4.281699896
130	4.260414171
131	4.20577412
132	4.16058603
133	4.075710926
134	4.037641463
135	4.016535397
136	3.975617294
137	3.9720822
138	3.930540277
139	3.885617125
140	3.848007768
141	3.798023532
142	3.779897964
143	3.73727984
144	3.694561882
145	3.648681106
146	3.615032887
147	3.593015998
148	3.567671248
149	3.563054918
150	3.522760654
151	3.496983685
152	3.465120655
153	3.441069966
154	3.41046777
155	3.386438635
156	3.370785214
157	3.333029783
158	3.298403017
159	3.27556742
160	3.261814009
161	3.241529364
162	3.238858706
163	3.20473093
164	3.169600261
165	3.15038844
166	3.122566349
167	3.09339663
168	3.06734484
169	3.046398515
170	3.041269752
171	3.012798597
172	3.00995446
173	3.005857873
174	3.003765814
175	2.981228111
176	2.962452773
177	2.935859525
178	2.90694679
179	2.889540591
180	2.860161891
181	2.848393258
182	2.824958772
183	2.816041453
184	2.811428453
185	2.777830105
186	2.765944263
187	2.754208025
188	2.73745995
189	2.706053047
190	2.691205863
191	2.68308884
192	2.678558191
193	2.658648576
194	2.657170027
195	2.643509998
196	2.623692688
197	2.607635738
198	2.577534591
199	2.555845705
200	2.532829141
201	2.523580139
202	2.498772687
203	2.490608493
204	2.462097035
205	2.451269424
206	2.448466961
207	2.44144247
208	2.425926625
209	2.403298928
210	2.393619084
211	2.352568688
212	2.3493778
213	2.342124516
214	2.315274832
215	2.312000412
216	2.305413042
217	2.29137171
218	2.278851191
219	2.277505883
220	2.264937066
221	2.240870008
222	2.237264744
223	2.225354998
224	2.211450745
225	2.197249734
226	2.186503884
227	2.17353396
228	2.155195379
229	2.142285053
230	2.122222457
231	2.111090523
232	2.104057166
233	2.097715883
234	2.091857664
235	2.074072917
236	2.057733026
237	2.045970143
238	2.02845966
239	2.012288051
240	2.009027248
241	1.991699441
242	1.988264618
243	1.962711138
244	1.953770845
245	1.952540639
246	1.940672243
247	1.928143725
248	1.926528223
249	1.921530996
250	1.905123854
251	1.883002608
252	1.882033142
253	1.871516984
254	1.856147221
255	1.845614551
256	1.833007279
257	1.829934416
258	1.824567697
259	1.813654972
260	1.792941189
261	1.78568498
262	1.778826772
263	1.762126094
264	1.754184811
265	1.753203176
266	1.746726993
267	1.737361696
268	1.736243561
269	1.735440866
270	1.734315414
271	1.729906879
272	1.728071916
273	1.719618764
274	1.696544713
275	1.683340696
276	1.669604452
277	1.668788807
278	1.659303052
279	1.658547837
280	1.648417215
281	1.63445371
282	1.624698393
283	1.607644696
284	1.599258493
285	1.587127707
286	1.578411052
287	1.568613597
288	1.567676448
289	1.563964992
290	1.559204063
291	1.550183931
292	1.548616301
293	1.540868872
294	1.524303728
295	1.520171204
296	1.516327259
297	1.513348869
298	1.506324263
299	1.490732424
300	1.482396631
301	1.478138966
302	1.469119477
303	1.45827438
304	1.440542952
305	1.434864559
306	1.431848779
307	1.424980959
308	1.41937824
309	1.4105322
310	1.403671129
311	1.402295667
312	1.391103958
313	1.378544624
314	1.370588244
315	1.361942946
316	1.357556125
317	1.350963471
318	1.341253778
319	1.331016159
320	1.322799587
321	1.316824851
322	1.310216281
323	1.303990718
324	1.29055028
325	1.284882203
326	1.277323899
327	1.273386012
328	1.270845044
329	1.261677778
330	1.260662719
331	1.255464181
332	1.249684815
333	1.241530332
334	1.23233366
335	1.22602545
336	1.22290645
337	1.222504085
338	1.211753225
339	1.203845028
340	1.197472417
341	1.191957472
342	1.182675029
343	1.176721196
344	1.171526058
345	1.165475938
346	1.160125612
347	1.15879756
348	1.149024188
349	1.144199839
350	1.140117569
351	1.130875881
352	1.12405967
353	1.11808867
354	1.117693713
355	1.113836283
356	1.113320815
357	1.109941844
358	1.106736243
359	1.095602102
360	1.084977416
361	1.079418723
362	1.078907808
363	1.075246995
364	1.071840702
365	1.061186083
366	1.056802156
367	1.04980089
368	1.046070271
369	1.040249588
370	1.036141644
371	1.026038135
372	1.022658156
373	1.018808552
374	1.013616972
375	1.01060113
376	1.007095979
377	1.004171423
378	0.9981980893
379	0.9928043513
380	0.9828438496
381	0.979713223
382	0.9716097055
383	0.9709399969
384	0.9627467607
385	0.9578830071
386	0.9523995968
387	0.9419434663
388	0.9374554008
389	0.9342460686
390	0.9319005976
391	0.9262939128
392	0.9259484705
393	0.9173607516
394	0.9100938334
395	0.9020524841
396	0.8940925121
397	0.891458701
398	0.891018212
399	0.8878738725
400	0.8823313056
401	0.8768284423
402	0.8732417255
403	0.8690420723
404	0.8663608705
405	0.8634473148
406	0.859095818
407	0.8536182308
408	0.8484131536
409	0.8424104341
410	0.8343532063
411	0.8309436749
412	0.8219963776
413	0.8158967226
414	0.8090065863
415	0.8053448445
416	0.8019249988
417	0.7931370846
418	0.7887278436
419	0.7850212869
420	0.7794752498
421	0.7756931508
422	0.7695041059
423	0.7670675499
424	0.7583505548
425	0.7552319134
426	0.7522020153
427	0.7519203223
428	0.7481923492
429	0.7447895049
430	0.741019894
431	0.7335312722
432	0.7290480351
433	0.7242730797
434	0.7217311311
435	0.7191088797
436	0.7150570105
437	0.7121053038
438	0.7099484635
439	0.7076311294
440	0.702959263
441	0.6994494707
442	0.6957207945
443	0.6908902479
444	0.6874534018
445	0.6857954599
446	0.6831022366
447	0.6809193395
448	0.6774842347
449	0.6755260098
450	0.6729092623
451	0.6697990085
452	0.6643969629
453	0.6590114155
454	0.6526627024
455	0.6495374744
456	0.6463434971
457	0.6445886757
458	0.6422369304
459	0.640641137
460	0.6378698693
461	0.6339001437
462	0.6314258718
463	0.6297902055
464	0.6249453814
465	0.6247268397
466	0.6230361428
467	0.6210622204
468	0.6192660978
469	0.6127612235
470	0.6098355002
471	0.6070800634
472	0.604639587
473	0.5999351493
474	0.5934306241
475	0.5932064876
476	0.5922507495
477	0.5907392456
478	0.5884687357
479	0.5838847906
480	0.5824500537
481	0.5764953461
482	0.5743718006
483	0.5724682253
484	0.5699900962
485	0.5673685991
486	0.5661861358
487	0.5650244863
488	0.5648373701
489	0.5623934757
490	0.5585427747
491	0.5554309301
492	0.5494724165
493	0.5468034958
494	0.5451823708
495	0.5426336134
496	0.5414731804
497	0.5379819796
498	0.5343906319
499	0.5333655784
500	0.5331437085
501	0.5303201146
502	0.527891697
503	0.5261410778
504	0.5240755252
505	0.5218808221
506	0.5189537667
507	0.5143816414
508	0.5117205643
509	0.5103655355
510	0.5101396067
511	0.5081314357
512	0.5070903067
513	0.5022068888
514	0.4996435168
515	0.4972020668
516	0.494768038
517	0.4915710095
518	0.489757556
519	0.4891124155
520	0.4871499485
521	0.4849437644
522	0.4795390319
523	0.4752490105
524	0.473772314
525	0.4698381859
526	0.4669802949
527	0.4615833302
528	0.4600008077
529	0.4581650867
530	0.4562220738
531	0.4530122114
532	0.4512846732
533	0.4486313
534	0.4480434455
535	0.4453807265
536	0.4438516085
537	0.443657738
538	0.4425110014
539	0.4396972361
540	0.4377268292
