iter	Passed	Remaining
0	60	60101
1	60	30149
2	60	20136
3	60	15131
4	60	12135
5	61	10131
6	61	8699
7	61	7633
8	61	6798
9	62	6147
10	62	5596
11	62	5133
12	62	4744
13	62	4413
14	62	4125
15	63	3876
16	63	3656
17	63	3458
18	63	3281
19	63	3122
20	63	2978
21	64	2847
22	64	2728
23	64	2619
24	64	2520
25	64	2428
26	65	2342
27	65	2261
28	65	2188
29	65	2118
30	65	2051
31	65	1989
32	65	1931
33	66	1880
34	66	1829
35	66	1781
36	66	1736
37	66	1692
38	67	1651
39	67	1612
40	67	1576
41	67	1540
42	67	1507
43	67	1475
44	68	1444
45	68	1414
46	68	1386
47	68	1359
48	68	1334
49	68	1310
50	69	1286
51	69	1263
52	69	1240
53	69	1217
54	69	1196
55	69	1176
56	69	1157
57	70	1138
58	71	1132
59	71	1116
60	71	1099
61	71	1083
62	71	1067
63	71	1051
64	72	1038
65	72	1024
66	72	1010
67	72	997
68	72	984
69	73	971
70	73	959
71	73	947
72	73	935
73	73	923
74	74	912
75	74	901
76	74	890
77	74	880
78	74	870
79	74	860
80	75	852
81	75	842
82	75	833
83	75	824
84	75	815
85	75	807
86	76	799
87	76	790
88	76	782
89	76	775
90	76	767
91	77	760
92	77	752
93	77	745
94	77	738
95	77	731
96	77	724
97	77	717
98	78	712
99	78	706
100	78	701
101	79	695
102	79	689
103	79	684
104	79	678
105	79	672
106	79	667
107	80	661
108	80	656
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	625
115	81	620
116	81	615
117	81	610
118	81	605
119	81	600
120	82	596
121	82	591
122	82	587
123	82	582
124	82	578
125	82	574
126	82	570
127	83	566
128	83	562
129	83	558
130	83	554
131	83	550
132	83	546
133	83	542
134	84	538
135	84	535
136	84	531
137	84	527
138	84	524
139	84	521
140	85	518
141	85	515
142	85	512
143	85	509
144	85	507
145	86	504
146	86	501
147	86	498
148	86	495
149	86	492
150	87	489
151	87	486
152	87	483
153	87	480
154	87	478
155	87	475
156	88	472
157	88	469
158	88	467
159	88	464
160	88	462
161	88	459
162	89	457
163	89	454
164	89	451
165	89	449
166	89	446
167	89	444
168	89	442
169	90	440
170	90	437
171	90	435
172	90	433
173	90	431
174	90	428
175	91	426
176	91	424
177	91	424
178	92	422
179	92	420
180	92	418
181	92	416
182	92	414
183	92	412
184	93	410
185	93	408
186	93	406
187	93	405
188	93	403
189	94	401
190	94	399
191	94	397
192	94	395
193	94	393
194	94	391
195	95	389
196	95	387
197	95	386
198	95	384
199	95	382
200	95	380
201	95	379
202	96	377
203	96	375
204	96	373
205	96	372
206	96	370
207	96	368
208	96	366
209	97	365
210	97	363
211	97	361
212	97	360
213	97	358
214	97	356
215	97	355
216	97	353
217	98	352
218	98	350
219	98	349
220	98	347
221	98	346
222	98	344
223	99	343
224	99	341
225	99	340
226	99	338
227	99	337
228	99	335
229	99	334
230	100	333
231	100	331
232	100	330
233	100	329
234	100	327
235	100	326
236	101	325
237	101	323
238	101	322
239	101	321
240	101	319
241	101	318
242	101	317
243	102	316
244	102	315
245	102	314
246	102	312
247	102	311
248	103	310
249	103	309
250	103	308
251	103	307
252	103	306
253	103	304
254	103	303
255	104	302
256	104	301
257	104	300
258	104	299
259	104	298
260	104	297
261	105	295
262	105	294
263	105	293
264	105	292
265	105	291
266	105	290
267	106	289
268	106	288
269	106	287
270	106	286
271	106	285
272	106	284
273	107	283
274	107	282
275	107	281
276	107	280
277	107	279
278	107	278
279	108	278
280	108	277
281	108	276
282	108	275
283	108	274
284	109	273
285	109	272
286	109	271
287	109	270
288	109	269
289	109	269
290	110	268
291	110	267
292	110	266
293	110	265
294	110	264
295	110	263
296	110	262
297	111	261
298	111	260
299	111	259
300	111	258
301	111	257
302	111	257
303	111	256
304	112	255
305	112	254
306	112	253
307	112	252
308	112	251
309	112	250
310	112	250
311	113	249
312	113	248
313	113	247
314	113	246
315	113	245
316	113	245
317	113	244
318	114	243
319	114	242
320	114	241
321	114	240
322	114	240
323	114	239
324	114	238
325	115	238
326	115	237
327	115	236
328	115	235
329	115	234
330	115	234
331	116	233
332	116	232
333	116	231
334	116	231
335	116	230
336	116	229
337	116	228
338	117	228
339	117	227
340	117	226
341	117	226
342	117	225
343	117	224
344	118	224
345	118	223
346	118	222
347	118	221
348	118	221
349	118	220
350	119	220
351	119	219
352	119	218
353	119	218
354	119	217
355	119	216
356	120	216
357	120	215
358	120	215
359	121	215
360	121	215
361	121	214
362	121	213
363	122	213
364	122	212
365	122	211
366	122	211
367	122	210
368	122	209
369	122	209
370	123	208
371	123	208
372	123	207
373	123	207
374	123	206
375	124	205
376	124	205
377	124	204
378	124	204
379	124	203
380	124	202
381	124	202
382	125	201
383	125	200
384	125	200
385	125	199
386	125	199
387	125	198
388	125	197
389	126	197
390	126	196
391	126	195
392	126	195
393	126	194
394	126	194
395	126	193
396	126	192
397	127	192
398	127	191
399	127	191
400	127	190
401	127	189
402	127	189
403	127	188
404	128	188
405	128	187
406	128	186
407	128	186
408	128	185
409	128	185
410	128	184
411	128	183
412	129	183
413	129	182
414	129	182
415	129	181
416	129	181
417	129	180
418	129	180
419	130	179
420	130	178
421	130	178
422	130	177
423	130	177
424	130	176
425	130	176
426	130	175
427	131	175
428	131	174
429	131	174
430	131	173
431	131	173
432	131	172
433	131	171
434	132	171
435	132	170
436	132	170
437	132	169
438	132	169
439	132	168
440	132	168
441	132	167
442	133	167
443	133	166
444	133	166
445	133	165
446	133	165
447	133	164
448	133	164
449	134	163
450	134	163
451	134	162
452	134	162
453	134	161
454	134	161
455	134	160
456	135	160
457	135	159
458	135	159
459	135	158
460	135	158
461	135	157
462	135	157
463	135	157
464	136	156
465	136	156
466	136	155
467	136	155
468	136	154
469	136	154
470	136	153
471	137	153
472	137	152
473	137	152
474	137	152
475	137	151
476	137	151
477	138	150
478	138	150
479	138	149
480	138	149
481	138	149
482	138	148
483	139	148
484	139	147
485	139	147
486	139	146
487	139	146
488	139	146
489	139	145
490	139	145
491	140	144
492	140	144
493	140	143
494	140	143
495	140	142
496	140	142
497	140	141
498	140	141
499	141	141
500	141	140
501	141	140
502	141	139
503	141	139
504	141	138
505	141	138
506	142	138
507	142	137
508	142	137
509	142	136
510	142	136
511	142	136
512	142	135
513	143	135
514	143	134
515	143	134
516	143	133
517	143	133
518	143	133
519	143	132
520	143	132
521	144	131
522	144	131
523	144	131
524	144	130
525	144	130
526	144	129
527	144	129
528	145	129
529	145	128
530	145	128
531	145	128
532	145	127
533	145	127
534	146	126
535	146	126
536	146	126
537	146	125
538	146	125
539	146	125
540	146	124
541	147	124
542	147	123
543	147	123
544	147	123
545	147	122
546	147	122
547	147	122
548	148	121
549	148	121
550	148	120
551	148	120
552	148	120
553	148	119
554	149	119
555	149	119
556	149	118
557	149	118
558	149	118
559	149	117
560	149	117
561	150	117
562	150	116
563	150	116
564	150	116
565	150	115
566	151	115
567	151	115
568	151	114
569	151	114
570	151	114
571	152	113
572	152	113
573	152	113
574	152	112
575	152	112
576	152	112
577	153	111
578	153	111
579	154	111
580	154	111
581	154	111
582	154	110
583	155	110
584	155	110
585	155	109
586	155	109
587	155	109
588	155	108
589	155	108
590	156	107
591	156	107
592	156	107
593	156	106
594	156	106
595	156	106
596	156	105
597	157	105
598	157	105
599	158	105
600	158	105
601	158	104
602	158	104
603	158	104
604	158	103
605	158	103
606	159	102
607	159	102
608	159	102
609	159	101
610	159	101
611	159	101
612	160	101
613	160	100
614	160	100
615	160	100
616	160	99
617	160	99
618	160	99
619	161	98
620	161	98
621	161	98
622	161	97
623	161	97
624	161	97
625	161	96
626	162	96
627	162	96
628	162	95
629	162	95
630	162	95
631	162	94
632	162	94
633	163	94
634	163	93
635	163	93
636	163	93
637	163	92
638	163	92
639	163	92
640	164	91
641	164	91
642	164	91
643	164	90
644	164	90
645	164	90
646	164	89
647	165	89
648	165	89
649	165	89
650	165	88
651	165	88
652	165	88
653	165	87
654	165	87
655	166	87
656	166	86
657	166	86
658	166	86
659	166	85
660	166	85
661	167	85
662	167	84
663	167	84
664	167	84
665	167	84
666	167	83
667	167	83
668	168	83
669	168	82
670	168	82
671	168	82
672	168	81
673	168	81
674	169	81
675	169	81
676	169	80
677	169	80
678	169	80
679	169	79
680	170	79
681	170	79
682	170	79
683	170	78
684	170	78
685	170	78
686	171	77
687	171	77
688	171	77
689	171	77
690	171	76
